SMILES,HOMO,LUMO,S1,S2
Cc1ccc2c(c1)B1c3sc4cccc(N(c5ccccc5)c5ccccc5)c4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1ccc(C(C)(C)C)cc1,-4.9985151290893555,-1.6774966716766357,2.3961122035980225,2.762274980545044
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3cc(C(C)(C)C)ccc3N4c3ccc4c(c3)oc3ccccc34)c3sc4cccc(N(c5ccccc5)c5ccccc5)c4c32)c1,-4.998037815093994,-1.7820658683776855,2.239656925201416,2.6238908767700195
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5cccc(N(c6ccccc6)c6ccccc6)c5c4N(c4ccc5sc6ccccc6c5c4)c4cccc2c43)c1,-4.992071151733398,-1.7959232330322266,2.1787962913513184,2.6304709911346436
CC(C)(C)c1cccc(-c2nc3cc4c(cc3n2-c2cccc(C(C)(C)C)c2)N(c2ccccc2F)c2cccc3c2B4c2sc4ccccc4c2N3c2cccc(C(C)(C)C)c2)c1,-4.799134731292725,-1.6904863119125366,2.354233503341675,2.900926351547241
c1ccc(-c2ccccc2N2CCN3c4cccc5c4B(c4cccc2c43)c2cccc3c2N5CCN3c2ccccc2-c2ccccc2)cc1,-4.921519756317139,-1.4851168394088745,2.5060787200927734,2.9065535068511963
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5cc(N(c6ccccc6)c6ccccc6)ccc5c4N(c4cccc5ccccc45)c4cccc2c43)c1,-4.786151885986328,-1.5814622640609741,2.3014638423919678,2.8333027362823486
CC(C)(C)c1cccc(N2c3cc4c(cc3B3c5sc6ccccc6c5N(c5cccc(C(C)(C)C)c5)c5cccc2c53)nc(-c2ccc3sc5ccccc5c3c2)n4-c2cccc(C(C)(C)C)c2)c1,-4.81681489944458,-1.705293893814087,2.324995517730713,2.854222297668457
CC(C)(C)c1ccc(-c2cc3c(c4oc5ccccc5c24)B2c4ccc(N(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)cc4N(c4ccc(C(C)(C)C)cc4)c4cccc(c42)N3c2ccc(C(C)(C)C)cc2)cc1,-4.842684268951416,-1.5319098234176636,2.614753246307373,2.933720588684082
CC(C)(C)c1cccc(N2c3cccc4c3B(c3cc5nc(-c6ccc7sc8ccccc8c7c6)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3ccc4ccc5cccc6ccc3c4c56)c3sc4ccccc4c32)c1,-4.791019439697266,-2.2258310317993164,2.0236682891845703,2.351990222930908
CC(C)(C)c1cccc(N2c3cc(-n4c5ccccc5c5ccccc54)cc4c3B(c3cc5nc(-c6cccc7oc8ccccc8c67)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3cccc4sc5ccccc5c34)c3sc4ccccc4c32)c1,-4.980806350708008,-1.8576180934906006,2.467252254486084,2.762503147125244
CC(C)N(c1cc2c3c(c1)B1c4cc(N(C(C)C)C(C)C)cc5c4N(CC5)c4cc(N(c5ccccc5)c5ccccc5)cc(c41)N3CC2)C(C)C,-4.688211441040039,-1.3972753286361694,2.4231817722320557,2.9764065742492676
CC(C)(C)c1cccc(N2c3cccc4c3B(c3cc5nc(-c6ccc7ccccc7c6)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3ccc4ccc5cccc6ccc3c4c56)c3sc4ccccc4c32)c1,-4.7204999923706055,-2.1988492012023926,1.9258676767349243,2.2983484268188477
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5ccc(N(c6ccccc6)c6ccccc6)cc5c4N(c4ccc5sc6ccccc6c5c4)c4cccc2c43)c1,-4.880605220794678,-1.5825284719467163,2.4127066135406494,2.851990222930908
CC(C)(C)c1cccc(N2c3cc(-n4c5ccccc5c5ccccc54)cc4c3B(c3cc5nc(-c6ccc7c(c6)oc6ccccc67)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3cccc4c5ccccc5c5ccccc5c34)c3sc4ccccc4c32)c1,-4.852270603179932,-1.8767238855361938,2.3917236328125,2.6252501010894775
Cc1ccc2c(c1)B1c3sc4c(N(c5ccccc5)c5ccccc5)cccc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1cccc2oc3ccccc3c12,-4.929816246032715,-1.4858176708221436,2.683946371078491,2.9961724281311035
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5cc(N(c6ccccc6)c6ccccc6)ccc5c4N(c4cccc5oc6ccccc6c45)c4cccc2c43)c1,-4.814724922180176,-1.514876127243042,2.5198442935943604,2.92478609085083
CC(C)(C)c1ccc(N2c3cc4c5ccccc5n(-c5ccc(C(C)(C)C)cc5)c4cc3B3c4cc(C(C)(C)C)ccc4N(c4ccc(N(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)c5c4oc4ccccc45)c4cccc2c43)cc1,-4.690740585327148,-1.586320400238037,2.500825881958008,2.8918569087982178
